,online,reservations,rating,votes,location,rest_type,cost_for_two,type
23918,Yes,No,4.2,58,New BEL Road,Quick Bites,250,Delivery
8156,No,No,3.1,12,Koramangala 5th Block,Quick Bites,200,Delivery
12244,Yes,No,3.6,123,HSR,Quick Bites,300,Dine-out
22097,Yes,No,4.6,4714,Koramangala 7th Block,Other,1500,Drinks & nightlife
30050,Yes,No,4.1,97,Sarjapur Road,Delivery,300,Delivery
17697,Yes,No,3.7,22,Old Airport Road,Bakery,600,Delivery
12796,Yes,No,4.0,111,MG Road,Casual Dining,1000,Delivery
9509,Yes,No,4.3,291,Residency Road,"Takeaway, Delivery",500,Delivery
10370,No,No,3.2,17,Electronic City,Delivery,400,Delivery
3628,No,No,3.7,47,Bellandur,Cafe,500,Dine-out
23452,No,No,3.6,79,Majestic,Other,350,Dine-out
6048,No,No,3.73178,0,Marathahalli,Quick Bites,350,Delivery
4793,No,No,3.73178,0,Residency Road,Other,400,Desserts
28530,Yes,No,3.0,20,Rajajinagar,Cafe,900,Cafes
21370,No,No,3.9,109,Koramangala 4th Block,Other,1500,Drinks & nightlife
1349,Yes,No,2.6,170,Bannerghatta Road,Casual Dining,600,Delivery
22526,Yes,No,3.7,32,Ulsoor,Quick Bites,400,Delivery
4730,No,No,4.5,292,Lavelle Road,Dessert Parlor,400,Desserts
24250,No,Yes,4.0,568,Malleshwaram,Casual Dining,1000,Dine-out
28174,Yes,No,4.2,1345,Jeevan Bhima Nagar,Quick Bites,500,Dine-out
24547,No,No,3.73178,0,Rajajinagar,Quick Bites,200,Dine-out
5711,Yes,No,2.8,67,Marathahalli,Quick Bites,500,Delivery
12376,Yes,No,3.73178,0,Koramangala 1st Block,Quick Bites,350,Dine-out
30102,No,Yes,4.3,1764,Sarjapur Road,Other,1500,Delivery
14886,No,No,3.7,0,JP Nagar,Cafe,600,Dine-out
28879,No,Yes,4.3,1103,Rajajinagar,Other,1650,Dine-out
24148,Yes,No,4.2,287,Malleshwaram,Other,700,Desserts
3753,No,No,3.0,26,Bellandur,Quick Bites,400,Dine-out
9405,Yes,Yes,4.4,1842,Lavelle Road,Casual Dining,1500,Delivery
895,Yes,No,3.4,76,Bannerghatta Road,Quick Bites,450,Delivery
6035,No,No,3.73178,0,"Varthur Main Road, Whitefield","Takeaway, Delivery",400,Delivery
11320,No,No,3.2,4,Frazer Town,Quick Bites,150,Dine-out
18633,Yes,No,3.9,554,Koramangala 7th Block,Quick Bites,600,Dine-out
3274,Yes,No,3.6,20,Sarjapur Road,"Takeaway, Delivery",200,Delivery
1808,No,No,3.2,7,Bannerghatta Road,Quick Bites,300,Dine-out
25449,No,Yes,4.8,7284,Marathahalli,"Casual Dining, Bar",1500,Dine-out
21160,Yes,Yes,4.5,3991,Koramangala 5th Block,Other,1600,Dine-out
18648,Yes,No,3.1,7,Ejipura,Quick Bites,300,Dine-out
4814,Yes,No,4.1,33,Cunningham Road,Dessert Parlor,400,Desserts
9254,Yes,Yes,4.4,383,Koramangala 5th Block,"Casual Dining, Bar",1500,Pubs and bars
4416,Yes,Yes,4.6,1211,St. Marks Road,"Casual Dining, Bar",1700,Delivery
29164,No,Yes,3.9,96,Basaveshwara Nagar,Other,1200,Pubs and bars
25213,Yes,No,3.0,9,Marathahalli,Quick Bites,450,Delivery
28190,Yes,No,3.2,30,Jeevan Bhima Nagar,Quick Bites,200,Dine-out
31489,Yes,No,3.73178,0,Whitefield,Dessert Parlor,400,Desserts
265,Yes,No,3.9,18,Basavanagudi,Quick Bites,200,Delivery
22772,No,No,3.73178,0,City Market,Other,150,Delivery
31712,No,No,3.5,12,Whitefield,Cafe,650,Dine-out
7161,Yes,No,4.3,245,Koramangala 5th Block,Quick Bites,600,Delivery
24590,No,No,4.1,731,Malleshwaram,Other,1500,Pubs and bars
6029,No,No,3.73178,0,"Varthur Main Road, Whitefield",Other,400,Delivery
2937,Yes,No,3.2,380,Sarjapur Road,Quick Bites,450,Delivery
12637,Yes,No,3.1,39,Indiranagar,Delivery,400,Delivery
6826,No,No,3.4,5,Whitefield,Quick Bites,500,Dine-out
21309,Yes,No,3.1,54,Koramangala 1st Block,Quick Bites,100,Dine-out
6925,No,No,3.6,61,BTM,Cafe,500,Cafes
7117,Yes,No,4.1,1022,HSR,Dessert Parlor,500,Delivery
29732,No,Yes,4.3,2240,Residency Road,Other,1700,Drinks & nightlife
7731,Yes,Yes,3.9,597,Koramangala 4th Block,Other,1200,Delivery
11597,No,No,3.3,7,HSR,Other,300,Delivery
22705,Yes,No,4.0,101,St. Marks Road,Quick Bites,150,Delivery
6865,No,No,3.9,75,Whitefield,Other,2000,Drinks & nightlife
12033,No,Yes,4.6,634,HSR,Other,850,Dine-out
2091,No,No,3.3,4,JP Nagar,Quick Bites,350,Dine-out
19217,Yes,No,3.8,36,Koramangala 1st Block,Quick Bites,300,Delivery
3884,Yes,No,3.2,204,Sarjapur Road,Casual Dining,500,Dine-out
22690,Yes,Yes,4.4,721,MG Road,Other,1700,Delivery
16675,No,No,3.7,50,Kammanahalli,Quick Bites,400,Dine-out
21634,Yes,No,4.1,240,Koramangala 5th Block,Other,400,Delivery
12480,Yes,No,4.2,1203,Indiranagar,Cafe,600,Cafes
1829,Yes,No,3.6,15,Bannerghatta Road,Casual Dining,500,Dine-out
2769,No,No,3.73178,0,Jayanagar,Quick Bites,250,Dine-out
6830,No,No,3.73178,0,"ITPL Main Road, Whitefield",Quick Bites,300,Dine-out
9315,No,Yes,4.0,1706,Church Street,Cafe,1000,Cafes
23647,Yes,No,4.2,287,Malleshwaram,Other,700,Cafes
5505,No,Yes,4.1,1327,Lavelle Road,"Casual Dining, Bar",2100,Pubs and bars
1809,No,No,2.9,31,Bannerghatta Road,Casual Dining,600,Dine-out
26262,Yes,No,3.9,215,Brigade Road,Casual Dining,800,Delivery
14682,No,No,3.0,25,Jayanagar,Quick Bites,300,Dine-out
27391,No,No,3.6,74,Jalahalli,Casual Dining,400,Dine-out
20552,No,Yes,4.4,287,BTM,Casual Dining,1300,Dine-out
28933,No,No,3.5,46,Rajajinagar,Quick Bites,300,Dine-out
13958,Yes,No,4.1,52,BTM,"Takeaway, Delivery",250,Delivery
30137,Yes,No,3.3,18,South Bangalore,Delivery,500,Delivery
8293,No,No,4.6,342,Koramangala 5th Block,Other,400,Desserts
14358,Yes,No,3.73178,0,Koramangala 5th Block,Other,100,Delivery
30431,No,No,3.9,1228,Sarjapur Road,Casual Dining,1100,Dine-out
7918,Yes,No,3.9,162,JP Nagar,Delivery,500,Delivery
17842,Yes,No,2.6,74,Bommanahalli,Casual Dining,700,Delivery
31930,No,No,3.2,4,Whitefield,Quick Bites,250,Dine-out
17444,No,Yes,4.2,815,Koramangala 6th Block,Cafe,800,Cafes
9169,No,No,3.3,4,Bommanahalli,Quick Bites,200,Dine-out
7779,Yes,No,3.4,4,Koramangala,Delivery,250,Delivery
20727,Yes,No,4.1,992,Koramangala 6th Block,Cafe,600,Cafes
15461,No,No,3.73178,0,BTM,Quick Bites,500,Delivery
12898,Yes,Yes,4.4,1507,Indiranagar,Casual Dining,1700,Delivery
23871,Yes,No,3.73178,0,Rajajinagar,Quick Bites,250,Delivery
965,Yes,No,3.8,37,Bannerghatta Road,Quick Bites,250,Delivery
26625,Yes,No,3.7,33,Ulsoor,Quick Bites,400,Dine-out
12340,No,Yes,4.6,178,Sarjapur Road,Other,1500,Dine-out
22135,No,Yes,4.5,3923,Koramangala 5th Block,Other,1000,Pubs and bars
21080,No,No,3.3,6,Koramangala 1st Block,Quick Bites,200,Delivery
28930,Yes,No,3.9,266,Rajajinagar,Other,600,Dine-out
1065,Yes,No,4.0,212,Bannerghatta Road,Quick Bites,400,Delivery
27166,Yes,No,4.1,250,New BEL Road,Dessert Parlor,500,Desserts
26682,No,No,3.7,19,Ulsoor,Quick Bites,200,Dine-out
25099,Yes,No,3.6,16,Whitefield,Dessert Parlor,300,Delivery
20031,No,No,3.0,54,BTM,"Takeaway, Delivery",300,Delivery
21815,No,No,3.9,194,JP Nagar,Casual Dining,400,Delivery
12407,Yes,No,3.1,53,Koramangala 1st Block,Quick Bites,100,Dine-out
26643,Yes,No,3.9,36,Brigade Road,Quick Bites,600,Dine-out
28232,Yes,Yes,4.6,5448,Indiranagar,Casual Dining,1600,Dine-out
4952,No,Yes,4.3,595,Infantry Road,"Casual Dining, Bar",2500,Dine-out
12759,Yes,No,4.0,106,Old Airport Road,Delivery,750,Delivery
21867,Yes,Yes,4.5,727,Koramangala 7th Block,Casual Dining,1500,Dine-out
20149,No,No,3.7,48,BTM,"Takeaway, Delivery",400,Delivery
19862,Yes,No,4.1,56,Koramangala 5th Block,Quick Bites,500,Delivery
22068,Yes,No,3.6,22,Wilson Garden,Quick Bites,350,Dine-out
18043,No,No,3.73178,0,Koramangala 1st Block,Dessert Parlor,150,Delivery
22464,Yes,No,4.0,186,Commercial Street,Quick Bites,350,Delivery
3082,Yes,No,3.6,44,Sarjapur Road,Cafe,600,Delivery
19371,Yes,No,4.6,1026,Koramangala 7th Block,Other,550,Delivery
28462,No,Yes,4.2,1096,Indiranagar,Other,1100,Drinks & nightlife
1592,No,No,3.73178,0,Bommanahalli,Casual Dining,400,Delivery
8504,Yes,Yes,3.7,49,BTM,Cafe,300,Dine-out
29978,Yes,No,4.0,201,HSR,Delivery,800,Delivery
28899,No,Yes,4.0,137,Rajajinagar,Casual Dining,700,Dine-out
8153,No,No,3.2,4,HSR,Casual Dining,700,Delivery
17,Yes,No,3.8,144,Banashankari,Cafe,700,Cafes
