iter	RMSE
0	0.4158271742
1	0.4009887723
2	0.3890707909
3	0.3771534608
4	0.3691334453
5	0.3609584214
6	0.3545862607
7	0.3480279337
8	0.3422951603
9	0.3378838368
10	0.3338304068
11	0.3300623122
12	0.3265834169
13	0.3235974984
14	0.3209036692
15	0.3188860806
16	0.3166563358
17	0.3149792795
18	0.3135479308
19	0.3120526773
20	0.3104314044
21	0.3087474103
22	0.3076093395
23	0.3066006729
24	0.3058766183
25	0.3055812485
26	0.3046857402
27	0.3037117383
28	0.3027482343
29	0.3017950332
30	0.3008578099
31	0.3002615523
32	0.2995604276
33	0.2986953233
34	0.2979869019
35	0.297430224
36	0.2967623305
37	0.2960329999
38	0.2953963907
39	0.2948685711
40	0.2944131889
41	0.2936677523
42	0.2935191338
43	0.2928845499
44	0.2920521706
45	0.291263434
46	0.2907241348
47	0.2903801765
48	0.2898004178
49	0.2894155828
50	0.2892053442
51	0.2886600669
52	0.2881055122
53	0.2876040352
54	0.286688431
55	0.2862419554
56	0.2856246465
57	0.2855525672
58	0.2853148898
59	0.2846905445
60	0.284298981
61	0.2838329306
62	0.2837549915
63	0.2832618945
64	0.2830116015
65	0.282333607
66	0.2816156803
67	0.2814493089
68	0.2810481237
69	0.2804279395
70	0.2801769352
71	0.2799266781
72	0.2794950509
73	0.279231157
74	0.2786807692
75	0.2782732957
76	0.277729715
77	0.2769172155
78	0.2764817548
79	0.2761275468
80	0.2758281866
81	0.2756403595
82	0.2752248251
83	0.2748431099
84	0.2744347053
85	0.2741826033
86	0.273923624
87	0.2734379434
88	0.2729959378
89	0.2726881219
90	0.2723636008
91	0.271845867
92	0.2714066791
93	0.2709591573
94	0.2704595649
95	0.2698788186
96	0.2695128637
97	0.2692110266
98	0.2688217862
99	0.26845076
