iter	Passed	Remaining
0	2	225
1	3	149
2	3	126
3	4	109
4	5	104
5	6	99
6	7	97
7	8	95
8	9	93
9	10	91
10	11	90
11	12	88
12	12	86
13	13	85
14	14	83
15	15	82
16	16	81
17	17	79
18	18	78
19	19	77
20	20	76
21	21	75
22	22	73
23	23	72
24	23	71
25	24	70
26	25	69
27	26	68
28	27	67
29	28	66
30	29	65
31	30	64
32	31	63
33	32	62
34	33	61
35	34	60
36	35	59
37	36	58
38	37	58
39	37	56
40	38	55
41	39	54
42	40	53
43	42	53
44	43	53
45	44	52
46	45	51
47	46	50
48	47	49
49	48	48
50	49	47
51	49	46
52	51	45
53	51	44
54	52	42
55	53	42
56	54	41
57	55	40
58	56	39
59	57	38
60	58	37
61	59	36
62	60	35
63	61	34
64	62	33
65	63	32
66	63	31
67	64	30
68	65	29
69	66	28
70	67	27
71	68	26
72	69	25
73	69	24
74	71	23
75	71	22
76	73	21
77	73	20
78	74	19
79	75	18
80	76	17
81	77	16
82	78	16
83	79	15
84	79	14
85	80	13
86	81	12
87	82	11
88	83	10
89	84	9
90	85	8
91	85	7
92	95	7
93	96	6
94	97	5
95	98	4
96	99	3
97	100	2
98	101	1
99	103	0
