iter	RMSE
0	0.4242391847
1	0.413341458
2	0.4033710482
3	0.3946328014
4	0.3864484379
5	0.3796701383
6	0.3737107196
7	0.3678854798
8	0.3630683516
9	0.3582824265
10	0.3538655452
11	0.3500647589
12	0.3468740437
13	0.3437722545
14	0.3410998018
15	0.3383652555
16	0.3360762867
17	0.3340069008
18	0.3321997664
19	0.3304495112
20	0.3286490455
21	0.3274750154
22	0.3260769889
23	0.3249360203
24	0.323900982
25	0.3227204978
26	0.3216853857
27	0.3209509211
28	0.3199665783
29	0.3191631569
30	0.3182083022
31	0.3173998627
32	0.3166317982
33	0.3159456346
34	0.3153577021
35	0.3147723999
36	0.3141097339
37	0.313591628
38	0.3130770323
39	0.3125477331
40	0.3121313613
41	0.3117832142
42	0.3114317846
43	0.3109773168
44	0.3105636711
45	0.3102286521
46	0.3097100936
47	0.3093917248
48	0.3089110608
49	0.3086328516
50	0.3083739194
51	0.3081046372
52	0.3078683907
53	0.3076464309
54	0.3074076015
55	0.3072135043
56	0.3070383112
57	0.3067475568
58	0.3065006763
59	0.306237249
60	0.3059852746
61	0.3057051331
62	0.3055809377
63	0.3053281704
64	0.3051259807
65	0.3049536498
66	0.3047915157
67	0.3046738318
68	0.3045490619
69	0.3043039495
70	0.3041579289
71	0.3040129995
72	0.3038449128
73	0.3037176572
74	0.3034711504
75	0.3032563152
76	0.3030029158
77	0.3028877964
78	0.3026645422
79	0.3025521416
80	0.3023862188
81	0.3022012359
82	0.302046876
83	0.3018647081
84	0.3017350308
85	0.3016437449
86	0.3014959479
87	0.301352145
88	0.3012141444
89	0.3010593482
90	0.3009769847
91	0.3009169376
92	0.3007587941
93	0.3006942401
94	0.3005393028
95	0.3004168452
96	0.300347894
97	0.3002771687
98	0.3001141028
99	0.3000213446
100	0.2998892024
101	0.2997237131
102	0.2996278083
103	0.2994895054
104	0.2994407645
105	0.2993183989
106	0.2992064189
107	0.2991500581
108	0.2990847615
109	0.2989600492
110	0.2989051648
111	0.298833043
112	0.2987088204
113	0.2986464988
114	0.298577274
115	0.2984479693
116	0.2983425397
117	0.2981797895
118	0.2980503415
119	0.2979291665
120	0.297800701
121	0.2976958176
122	0.2975923618
123	0.2974994266
124	0.2973709022
125	0.297271191
126	0.2972103608
127	0.2971630787
128	0.2969934354
129	0.2969027163
130	0.2968514593
131	0.2967047374
132	0.2965580411
133	0.2964549661
134	0.2963280543
135	0.2962517475
136	0.296212723
137	0.2960705591
138	0.2960066123
139	0.2959062775
140	0.2958131591
141	0.2957308189
142	0.2955997846
143	0.2955013345
144	0.295439391
145	0.2953597977
146	0.2952663962
147	0.2951727189
148	0.2951364612
149	0.2950763244
150	0.2949615611
151	0.2948650766
152	0.2947858913
153	0.2947274641
154	0.2946575956
155	0.2945269166
156	0.2944030457
157	0.2942817877
158	0.2941488837
159	0.2940813584
160	0.2940145365
161	0.2939407753
162	0.2938782225
163	0.2938176297
164	0.2936178403
165	0.2935587181
166	0.2934879253
167	0.2934089801
168	0.2933448054
169	0.2933065529
170	0.2932611497
171	0.2932313346
172	0.2932032631
173	0.2929742856
174	0.2928718373
175	0.2926996151
176	0.2926617748
177	0.2925952929
178	0.2925246024
179	0.292362473
180	0.2922888846
181	0.2921672046
182	0.292103164
183	0.2919763936
184	0.2917844608
185	0.2917492475
186	0.2916649993
187	0.2916416064
188	0.2915731956
189	0.2914597477
190	0.2914190154
191	0.2913193013
192	0.2912451564
193	0.2910430182
194	0.2909754624
195	0.2908938246
196	0.2908401321
197	0.2907100925
198	0.2906560032
199	0.2906142896
200	0.2904381212
201	0.2903665596
202	0.2902941528
203	0.2902018364
204	0.2901401782
205	0.2900291639
206	0.2898522431
207	0.2898221316
208	0.2896945233
209	0.2896432845
210	0.2896064999
211	0.289547923
212	0.2894405873
213	0.289264037
214	0.2891933603
215	0.2891131166
216	0.2889556997
217	0.2888618282
218	0.288658097
219	0.2885506406
220	0.2885073752
221	0.2884640456
222	0.2883720522
223	0.2883230708
224	0.2882577189
225	0.2881698448
226	0.2881490979
227	0.2881235742
228	0.2881001287
229	0.2880663812
