iter	Passed	Remaining
0	330	330428
1	336	168017
2	340	113288
3	344	85806
4	349	69547
5	353	58581
6	357	50775
7	361	44837
8	365	40207
9	368	36481
10	372	33469
11	375	30930
12	379	28810
13	383	26986
14	387	25441
15	391	24106
16	396	22900
17	399	21817
18	403	20854
19	407	19975
20	411	19196
21	416	18514
22	420	17860
23	425	17290
24	428	16717
25	432	16190
26	436	15713
27	440	15296
28	444	14888
29	448	14494
30	452	14137
31	457	13834
32	462	13540
33	465	13237
34	470	12964
35	474	12710
36	478	12445
37	482	12203
38	487	12003
39	490	11779
40	494	11559
41	498	11368
42	503	11214
43	508	11037
44	511	10863
45	515	10694
46	525	10650
47	530	10530
48	536	10409
49	541	10284
50	545	10147
51	549	10020
52	554	9904
53	558	9788
54	562	9663
55	568	9590
56	575	9513
57	579	9411
58	583	9306
59	587	9199
60	591	9112
61	595	9013
62	599	8913
63	602	8815
64	607	8744
65	611	8653
66	614	8561
67	618	8472
68	621	8390
69	625	8315
70	629	8239
71	633	8159
72	636	8083
73	640	8015
74	644	7943
75	647	7877
76	652	7817
77	657	7773
78	661	7711
79	664	7645
80	668	7581
81	672	7527
82	676	7470
83	679	7410
84	682	7351
85	686	7300
86	690	7245
87	693	7190
88	697	7137
89	700	7086
90	705	7044
91	708	6994
92	712	6946
93	715	6896
94	719	6856
95	723	6810
96	726	6762
97	729	6716
98	733	6677
99	737	6641
100	741	6597
101	744	6553
102	747	6512
103	752	6483
104	756	6445
105	759	6408
106	763	6368
107	767	6336
108	770	6300
109	774	6263
110	777	6226
111	780	6190
112	785	6162
113	788	6128
114	792	6100
115	796	6069
116	801	6045
117	804	6013
118	808	5982
119	811	5951
120	815	5926
121	819	5896
122	822	5865
123	825	5834
124	829	5805
125	834	5785
126	838	5764
127	843	5743
128	848	5726
129	852	5707
130	856	5684
131	861	5665
132	866	5646
133	870	5626
134	874	5605
135	879	5590
136	884	5571
137	889	5553
138	893	5531
139	897	5515
140	902	5495
141	906	5474
142	909	5452
143	914	5434
144	917	5411
145	921	5388
146	924	5365
147	928	5347
148	932	5324
149	935	5300
150	938	5278
151	942	5258
152	946	5241
153	950	5219
154	953	5197
155	956	5177
156	961	5161
157	964	5141
158	968	5120
159	971	5099
160	975	5082
161	979	5065
162	982	5047
163	986	5027
164	989	5008
165	994	4997
166	998	4979
167	1001	4961
168	1005	4943
169	1009	4928
170	1013	4914
171	1017	4896
172	1020	4877
173	1024	4863
174	1028	4847
175	1031	4831
176	1035	4814
177	1039	4800
178	1044	4789
179	1048	4775
180	1051	4759
